id,Apellido,Nombre,Distrito,Género,Sexo,Bloque,Interbloque,Voto
126,Lipovetzky,Daniel Andres,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
127,Llanos Massa,Ana Maria,Chubut,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Ausente
128,Llaryora,Martin Miguel,Cordoba,H,Hombre,CORDOBA FEDERAL,Argentina Federal,Afirmativo
129,Lopez Koenig,Leandro Gaston,Neuquen,H,Hombre,PRO,Cambiemos,Negativo
130,Lopez,Juan Manuel,Ciudad De Buenos Aires,H,Hombre,COALICION CIVICA,Cambiemos,Afirmativo
131,Lospennato,Silvia Gabriela,Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
132,Lotto,Ines Beatriz,Formosa,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
133,Lousteau,Martin,Ciudad De Buenos Aires,H,Hombre,EVOLUCION RADICAL,Evolucion Radical,Afirmativo
134,Macha,Monica,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
135,Macias,Oscar Alberto,Corrientes,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
136,Maquieyra,Martin,La Pampa,H,Hombre,PRO,Cambiemos,Afirmativo
137,Marcucci,Hugo Maria,Santa Fe,H,Hombre,UCR,Cambiemos,Negativo
138,Martiarena,Jose Luis,Jujuy,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
139,Martinez Villada,Leonor Maria,Cordoba,M,Mujer,COALICION CIVICA,Cambiemos,Negativo
140,Martinez,Norman Dario,Neuquen,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
141,Martinez,Silvia Alejandra,Jujuy,M,Mujer,UCR,Cambiemos,Negativo
142,Masin,Maria Lucila,Chaco,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
143,Massetani,Vanesa Laura,Santa Fe,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
144,Massot,Nicolas Maria,Cordoba,H,Hombre,PRO,Cambiemos,Negativo
145,Matzen,Lorena,Rio Negro,M,Mujer,UCR,Cambiemos,Negativo
146,Medina,Gladys,Tucuman,M,Mujer,JUSTICIALISTA POR TUCUMAN,Argentina Federal,Afirmativo
147,Medina,Martin Nicolas,Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
148,Mendoza,Josefina,Buenos Aires,M,Mujer,UCR,Cambiemos,Negativo
149,Mendoza,Mayra Soledad,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
150,Menna,Gustavo,Chubut,H,Hombre,UCR,Cambiemos,Negativo
151,Mercado,Veronica,Catamarca,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
152,Mestre,Diego Matias,Cordoba,H,Hombre,UCR,Cambiemos,Afirmativo
153,Miranda,Pedro Ruben,Mendoza,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
154,Moises,Maria Carolina,Jujuy,M,Mujer,JUSTICIALISTA,Argentina Federal,Negativo
155,Molina,Karina Alejandra,La Rioja,M,Mujer,PRO,Cambiemos,Negativo
156,Monaldi,Osmar Antonio,Jujuy,H,Hombre,PRO,Cambiemos,Negativo
157,Monfort,Marcelo Alejandro,Entre Rios,H,Hombre,UCR,Cambiemos,Ausente
158,Montenegro,Guillermo Tristan,Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
159,Monzo,Emilio,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
160,Morales,Flavia,Misiones,M,Mujer,FRENTE DE LA CONCORDIA MISIONERO,Argentina Federal,Negativo
161,Morales,Mariana Elizabet,Santiago Del Estero,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Afirmativo
162,Moreau,Cecilia,Buenos Aires,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
163,Moreau,Leopoldo Raul Guido,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
164,Mosqueda,Juan,Chaco,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
165,Moyano,Juan Facundo,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
166,Muñoz,Rosa Rosario,Chubut,M,Mujer,TRABAJO Y DIGNIDAD,Renovador UNA,Negativo
167,Najul,Claudia,Mendoza,M,Mujer,UCR,Cambiemos,Afirmativo
168,Nanni,Miguel,Salta,H,Hombre,UCR,Cambiemos,Negativo
169,Navarro,Graciela,Santiago Del Estero,M,Mujer,FRENTE CIVICO POR SANTIAGO,Frente Civico Por Santiago,Afirmativo
170,Nazario,Adriana Monica,Cordoba,M,Mujer,CORDOBA TRABAJO Y PRODUCCION,Renovador UNA,Afirmativo
171,Neder,Estela Mary,Santiago Del Estero,M,Mujer,FRENTE CIVICO POR SANTIAGO,Frente Civico Por Santiago,Negativo
172,Negri,Mario Raul,Cordoba,H,Hombre,UCR,Cambiemos,Negativo
173,Nuñez,Jose Carlos,Santa Fe,H,Hombre,PRO,Cambiemos,Negativo
174,Ocaña,Maria Graciela,Buenos Aires,M,Mujer,PRO,Cambiemos,Negativo
175,Olivares,Hector Enrique,La Rioja,H,Hombre,UCR,Cambiemos,Negativo
176,Oliveto Lago,Paula Mariana,Ciudad De Buenos Aires,M,Mujer,COALICION CIVICA,Cambiemos,Negativo
177,Olmedo,Alfredo Horacio,Salta,H,Hombre,SALTA SOMOS TODOS,Cambiemos,Afirmativo
178,Orellana,Jose Fernando,Tucuman,H,Hombre,PRIMERO TUCUMAN,Primero Tucuman,Afirmativo
179,Passo,Marcela Fabiana,Buenos Aires,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
180,Pastori,Luis Mario,Misiones,H,Hombre,UCR,Cambiemos,Afirmativo
181,Pastoriza,Mirta Ameliana,Santiago Del Estero,M,Mujer,FRENTE CIVICO POR SANTIAGO,Frente Civico Por Santiago,Afirmativo
182,Peñaloza Marianetti,Maria Florencia,San Juan,M,Mujer,SOMOS SAN JUAN,Argentina Federal,Afirmativo
183,Pereyra,Juan Manuel,Cordoba,H,Hombre,CONCERTACION FORJA,Frente para la Victoria - Pj,Afirmativo
184,Perez,Martin Alejandro,Tierra Del Fuego,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
185,Perez,Raul Joaquin,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
186,Pertile,Elda,Chaco,M,Mujer,JUSTICIALISTA,Argentina Federal,Afirmativo
187,Petri,Luis Alfonso,Mendoza,H,Hombre,UCR,Cambiemos,Afirmativo
188,Piccolomini,Maria Carla,Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
189,Pietragalla Corti,Horacio,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
190,Pitiot,Carla Betina,Ciudad De Buenos Aires,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
191,Polledo,Carmen,Ciudad De Buenos Aires,M,Mujer,PRO,Cambiemos,Negativo
192,Pretto,Pedro Javier,Cordoba,H,Hombre,PRO,Cambiemos,Afirmativo
193,Quetglas,Fabio Jose,Buenos Aires,H,Hombre,UCR,Cambiemos,Abstención
194,Rach Quiroga,Analia,Chaco,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
195,Ramon,Jose Luis,Mendoza,H,Hombre,PARTIDO INTRANSIGENTE,Partido Intransigente,Negativo
196,Ramos,Alejandro,Santa Fe,H,Hombre,PRIMERO ARGENTINA,Primero Argentina,Afirmativo
197,Rauschenberger,Ariel,La Pampa,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
198,Raverta,Maria Fernanda,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
199,Regidor Belledone,Estela Mercedes,Corrientes,M,Mujer,UCR,Cambiemos,Afirmativo
200,Reyes,Roxana Nahir,Santa Cruz,M,Mujer,UCR,Cambiemos,Negativo
201,Riccardo,Jose Luis,San Luis,H,Hombre,UCR,Cambiemos,Negativo
202,Ricci,Nadia Lorena,Santa Cruz,M,Mujer,UCR,Cambiemos,Afirmativo
203,Rista,Olga Maria,Cordoba,M,Mujer,UCR,Cambiemos,Afirmativo
204,Rodenas,Alejandra,Santa Fe,M,Mujer,NUEVO ESPACIO SANTAFESINO,Nuevo Espacio Santafesino,Afirmativo
205,Rodriguez,Matias David,Tierra Del Fuego,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
206,Rodriguez,Rodrigo Martin,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
207,Roma,Carlos Gaston,Tierra Del Fuego,H,Hombre,PRO,Cambiemos,Afirmativo
208,Romero,Jorge Antonio,Corrientes,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Ausente
209,Rossi,Agustin Oscar,Santa Fe,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
210,Rosso,Victoria,San Luis,M,Mujer,UNIDAD JUSTICIALISTA,Unidad Justicialista,Afirmativo
211,Ruiz Aragon,Jose Arnaldo,Corrientes,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Abstención
212,Russo,Laura,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
213,Saadi,Gustavo Arturo,Catamarca,H,Hombre,ELIJO CATAMARCA,Elijo Catamarca,Negativo
214,Sahad,Julio Enrique,La Rioja,H,Hombre,PRO,Cambiemos,Afirmativo
215,Salvarezza,Roberto,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
216,Santillan,Walter Marcelo,Tucuman,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
217,Sapag,Alma Liliana,Neuquen,M,Mujer,MOV POP NEUQUINO,Mov Pop Neuquino,Afirmativo
218,Scaglia,Gisela,Santa Fe,M,Mujer,PRO,Cambiemos,Afirmativo
219,Schlereth,David Pablo,Neuquen,H,Hombre,PRO,Cambiemos,Afirmativo
220,Schmidt Liermann,Cornelia,Ciudad De Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
221,Scioli,Daniel,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
222,Selva,Carlos Americo,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
223,Sierra,Magdalena,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
224,Siley,Vanesa,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
225,Snopek,Alejandro Francisco,Jujuy,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
226,Sola,Felipe Carlos,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
227,Solanas,Julio Rodolfo,Entre Rios,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
228,Soraire,Mirta Alicia,Tucuman,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
229,Soria,Maria Emilia,Rio Negro,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
230,Stefani,Hector Antonio,Tierra Del Fuego,H,Hombre,PRO,Cambiemos,Afirmativo
231,Suarez Lastra,Facundo,Ciudad De Buenos Aires,H,Hombre,UCR,Cambiemos,Abstención
232,Taboada,Jorge,Chubut,H,Hombre,"CULTURA, EDUCACION Y TRABAJO",Renovador UNA,Afirmativo
233,Tailhade,Luis Rodolfo,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
234,Terada,Alicia,Chaco,M,Mujer,COALICION CIVICA,Cambiemos,Negativo
235,Tonelli,Pablo Gabriel,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
236,Torello,Pablo,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
237,Tundis,Mirta,Buenos Aires,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
238,Urroz,Paula Marcela,Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
239,Vallejos,Fernanda,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
240,Vallone,Andres Alberto,San Luis,H,Hombre,UNIDAD JUSTICIALISTA,Unidad Justicialista,Negativo
241,Vazquez,Juan Benedicto,Santa Cruz,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
242,Vera Gonzalez,Orieta Cecilia,Catamarca,M,Mujer,COALICION CIVICA,Cambiemos,Negativo
243,Vigo,Alejandra Maria,Cordoba,M,Mujer,CORDOBA FEDERAL,Argentina Federal,Negativo
244,Villa,Natalia Soledad,Buenos Aires,M,Mujer,PRO,Cambiemos,Negativo
245,Villalonga,Juan Carlos,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
246,Villavicencio,Maria Teresita,Tucuman,M,Mujer,EVOLUCION RADICAL,Evolucion Radical,Negativo
247,Volnovich,Luana,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
248,Wechsler,Marcelo German,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
249,Wellbach,Ricardo,Misiones,H,Hombre,FRENTE DE LA CONCORDIA MISIONERO,Argentina Federal,Negativo
250,Wisky,Sergio Javier,Rio Negro,H,Hombre,PRO,Cambiemos,Afirmativo
251,Wolff,Waldo Ezequiel,Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
252,Yasky,Hugo,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
253,Yedlin,Pablo Raul,Tucuman,H,Hombre,JUSTICIALISTA POR TUCUMAN,Argentina Federal,Negativo
254,Zamarbide,Federico Raul,Mendoza,H,Hombre,UCR,Cambiemos,Afirmativo
255,Zamora,Claudia,Santiago Del Estero,M,Mujer,FRENTE CIVICO POR SANTIAGO,Frente Civico Por Santiago,Negativo
256,Ziliotto,Sergio Raul,La Pampa,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
257,Zottos,Andres,Salta,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
